specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.020401784684378737,0.02555978071399611,-0.029694464967795108,0.07049803433655258,0.42475517023789156,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,273
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0804828880469589,0.0273084696118491,0.02695927113482815,0.13400650495908964,0.0032068979320583058,16064,1004,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,273
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.022291768337960077,0.025192694103415188,-0.027085004778268282,0.07166854145418844,0.3762372606509854,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,276
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0827621706307436,0.027314960207188706,0.029225832385509007,0.13629850887597822,0.0024461774110959844,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,276
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.023291536099583256,0.025164809538690568,-0.026030584274060267,0.07261365647322678,0.3546747925841012,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,281
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.0834855187796752,0.027259811303321283,0.030057270399807608,0.1369137671595428,0.0021943334965390804,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,281
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.025846407939150204,0.025503494005650242,-0.02413952179185743,0.07583233767015785,0.31084729010151957,16112,1007,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,29
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08207912798367725,0.027644503165574368,0.02789689740864798,0.13626135855870652,0.0029867923151787323,16112,1007,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,29
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.021873268649541387,0.025265243718471348,-0.027645699099289288,0.07139223639837206,0.3866297945503756,16080,1005,1552,4.996003610813204e-16,-8,analysis_weight,baseline_club_id,290
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08049222541649712,0.027355590585555003,0.026876253092986344,0.13410819774000787,0.003256352882423208,16080,1005,1552,4.996003610813204e-16,-8,analysis_weight,baseline_club_id,290
